sample_index,lead_i_adc,lead_ii_adc,lead_iii_sensor_adc,lead_i_derived,lead_ii_derived,lead_iii_derived,avr_derived,avl_derived,avf_derived
0,2132,1904,141,2132,1904,-228,-2018,1180,838
1,2129,1915,294,2129,1915,-214,-2022,1172,850
2,2103,1975,284,2103,1975,-128,-2039,1116,924
3,2089,2002,187,2089,2002,-87,-2046,1088,958
4,1929,1978,236,1929,1978,49,-1954,940,1014
5,1790,1980,298,1790,1980,190,-1885,800,1085
6,1819,1997,245,1819,1997,178,-1908,820,1088
7,1855,2005,183,1855,2005,150,-1930,852,1078
8,1875,2031,315,1875,2031,156,-1953,860,1094
9,2010,2099,281,2010,2099,89,-2054,960,1094
10,2053,2103,181,2053,2103,50,-2078,1002,1076
11,1903,2037,296,1903,2037,134,-1970,884,1086
12,1911,2031,293,1911,2031,120,-1971,896,1076
13,2007,2036,200,2007,2036,29,-2022,989,1032
14,1961,2003,215,1961,2003,42,-1982,960,1022
15,1917,2003,295,1917,2003,86,-1960,916,1044
16,1990,2025,275,1990,2025,35,-2008,978,1030
17,1943,1995,55,1943,1995,52,-1969,946,1024
18,1925,1961,93,1925,1961,36,-1943,944,998
19,2111,1989,221,2111,1989,-122,-2050,1116,934
20,2007,1960,51,2007,1960,-47,-1984,1027,956
21,1709,1900,57,1709,1900,191,-1804,759,1046
22,1807,1910,55,1807,1910,103,-1858,852,1006
23,1959,1907,43,1959,1907,-52,-1933,1006,928
24,1815,1841,51,1815,1841,26,-1828,894,934
25,1673,1814,55,1673,1814,141,-1744,766,978
26,1673,1818,43,1673,1818,145,-1746,764,982
27,1663,1772,44,1663,1772,109,-1718,777,940
28,1647,1747,53,1647,1747,100,-1697,774,924
29,1791,1787,45,1791,1787,-4,-1789,898,892
30,1913,1791,41,1913,1791,-122,-1852,1018,834
31,1885,1749,55,1885,1749,-136,-1817,1010,806
32,1929,1783,50,1929,1783,-146,-1856,1038,818
33,1991,1817,39,1991,1817,-174,-1904,1082,822
34,2023,1801,51,2023,1801,-222,-1912,1122,790
35,2221,1811,52,2221,1811,-410,-2016,1316,700
36,2423,1797,43,2423,1797,-626,-2110,1524,586
37,2205,1739,42,2205,1739,-466,-1972,1336,636
38,2057,1691,52,2057,1691,-366,-1874,1212,662
39,2403,2037,180,2403,2037,-366,-2220,1384,836
40,2777,2505,59,2777,2505,-272,-2641,1524,1116
41,2571,2621,79,2571,2621,50,-2596,1260,1336
42,2213,2502,71,2213,2502,289,-2358,962,1396
43,1745,2189,51,1745,2189,444,-1967,650,1316
44,1189,1678,47,1189,1678,489,-1434,350,1084
45,1093,1407,42,1093,1407,314,-1250,390,860
46,1321,1493,37,1321,1493,172,-1407,574,832
47,1483,1687,43,1483,1687,204,-1585,640,946
48,1651,1824,55,1651,1824,173,-1738,739,998
49,2007,2013,53,2007,2013,6,-2010,1000,1010
50,2164,2085,51,2164,2085,-79,-2124,1122,1003
51,2003,1994,61,2003,1994,-9,-1998,1006,992
52,1959,1971,55,1959,1971,12,-1965,974,992
53,2152,1967,44,2152,1967,-185,-2060,1168,891
54,2275,1939,53,2275,1939,-336,-2107,1306,802
55,2219,2014,57,2219,2014,-205,-2116,1212,904
56,2119,2011,51,2119,2011,-108,-2065,1114,952
57,1877,1944,47,1877,1944,67,-1910,905,1006
58,1723,1867,55,1723,1867,144,-1795,790,1006
59,1942,1879,99,1942,1879,-63,-1910,1002,908
60,2031,1884,137,2031,1884,-147,-1958,1089,868
61,1919,1829,57,1919,1829,-90,-1874,1004,870
62,2040,1890,53,2040,1890,-150,-1965,1095,870
63,2189,1933,43,2189,1933,-256,-2061,1222,838
64,2041,1836,52,2041,1836,-205,-1938,1123,816
65,2065,1828,55,2065,1828,-237,-1946,1151,796
66,2261,1901,45,2261,1901,-360,-2081,1310,770
67,2253,1929,45,2253,1929,-324,-2091,1288,802
68,2190,1903,56,2190,1903,-287,-2046,1238,808
69,2335,1927,53,2335,1927,-408,-2131,1372,760
70,2203,1863,43,2203,1863,-340,-2033,1272,762
71,1973,1761,56,1973,1761,-212,-1867,1092,774
72,2091,1839,51,2091,1839,-252,-1965,1172,794
73,2141,1868,44,2141,1868,-273,-2004,1207,798
74,2027,1751,51,2027,1751,-276,-1889,1152,738
75,2092,1755,52,2092,1755,-337,-1924,1214,709
76,2321,1809,45,2321,1809,-512,-2065,1416,648
77,2235,1799,43,2235,1799,-436,-2017,1336,682
