sample_index,lead_i_adc,lead_ii_adc,lead_iii_sensor_adc,lead_i_derived,lead_ii_derived,lead_iii_derived,avr_derived,avl_derived,avf_derived
0,2652,11,12,2652,11,-2641,-1332,2646,-1315
1,2652,11,7,2652,11,-2641,-1332,2646,-1315
2,2651,9,17,2651,9,-2642,-1330,2646,-1316
3,2651,11,10,2651,11,-2640,-1331,2646,-1314
4,2665,10,7,2665,10,-2655,-1338,2660,-1322
5,2661,12,19,2661,12,-2649,-1336,2655,-1318
6,2637,11,12,2637,11,-2626,-1324,2632,-1308
7,2623,9,6,2623,9,-2614,-1316,2618,-1302
8,2631,9,21,2631,9,-2622,-1320,2626,-1306
9,2621,10,13,2621,10,-2611,-1316,2616,-1300
10,2633,11,8,2633,11,-2622,-1322,2628,-1306
11,2652,11,9,2652,11,-2641,-1332,2646,-1315
12,2649,10,17,2649,10,-2639,-1330,2644,-1314
13,2638,11,152,2638,11,-2627,-1324,2632,-1308
14,2643,11,11,2643,11,-2632,-1327,2638,-1310
15,2637,9,19,2637,9,-2628,-1323,2632,-1310
16,2645,12,12,2645,12,-2633,-1328,2639,-1310
17,2655,11,6,2655,11,-2644,-1333,2650,-1316
18,2675,10,19,2675,10,-2665,-1342,2670,-1328
19,2664,11,13,2664,11,-2653,-1338,2658,-1321
20,2649,11,7,2649,11,-2638,-1330,2644,-1314
21,2663,11,9,2663,11,-2652,-1337,2658,-1320
22,2665,10,19,2665,10,-2655,-1338,2660,-1322
23,2655,11,11,2655,11,-2644,-1333,2650,-1316
24,2665,11,7,2665,11,-2654,-1338,2660,-1322
25,2655,10,18,2655,10,-2645,-1332,2650,-1318
26,2643,9,11,2643,9,-2634,-1326,2638,-1312
27,2619,9,6,2619,9,-2610,-1314,2614,-1300
28,2607,10,21,2607,10,-2597,-1308,2602,-1294
29,2579,8,17,2579,8,-2571,-1294,2575,-1282
30,2531,6,6,2531,6,-2525,-1268,2528,-1260
31,2506,8,7,2506,8,-2498,-1257,2502,-1245
32,2476,5,17,2476,5,-2471,-1240,2474,-1233
